(24355,100109145) 100062749 100522310 100485698 100224067 100088575 100490274 100067395 100193671 100488471 100516259 100214776 100054972 100334757 100138364 100388799 100217809 100239588 100301424 100319845 100353841 100382496 100096011 100119092 100277657 100357058 100171901 100068725 100497038 100454537 100020674 100058702 100427444 100329022 100078057 100239268 100347433 100213405 100010044 100145947 100519807 100120627 100495153 100504292 100410668 100071163 100471848 100397540 100072129 100232962 100227734 100061600 100397811 100269505 100191753 100116290 100449223 100149093 100321386 100530038 100291014 100439797 100044369 100248613 100023528 100420883 100537969 100162288 100192220 100276958 100156691 100397001 100186375 100264512 100212031 100179641 100190429 100362395 100151621 100375260 100192584 100068891 100207921 100153990 100007586 100238215 100216468 100187704 100045703 100130626 100205250 100064878 100177764 100459990 100254743 100118478 100132608 100077337 100238255 100101054 100395142
(10910,100189465) 100508638 100202049 100516220 100180275 100101573 100082109 100102858 100068839 100311670 100204959 100522634 100259625 100385871 100138828 100476535 100157238 100036751 100225772 100447864 100269759 100322656 100253319 100509606 100401615 100356060 100320912 100260786 100169377 100101054 100314671 100203671 100098756 100136957 100360002 100212031 100487850 100339172 100346332 100428406 100063467 100521464 100053054 100388799 100298830 100377011 100526482 100504725 100487207 100326075 100194287 100475711 100140707 100200952 100278241 100451427 100369475 100440079 100045598 100285256 100049337 100422826 100193858 100055500 100447726 100006688 100328756 100516763 100056905 100262391 100393444 100217520 100315637 100231025 100222095 100390782 100399271 100481232 100261536 100016273 100169664 100519891 100326323 100098300 100416994 100298819 100329295 100359088 100333422 100380783 100512170 100203627 100433694 100368176 100525534 100227734 100342338 100286625 100010854 100124318 100177764
(10910,100212267) 100133831 100473049 100503279 100267761 100501382 100371052 100156950 100267663 100198400 100162598 100109145 100319147 100395655 100517349 100362440 100245691 100113057 100159508 100085390 100235816 100463382 100359088 100298534 100007586 100399201 100425662 100089181 100460287 100269512 100519807 100105652 100490197 100244585 100101054 100478827 100020423 100129708 100119206 100356214 100230917 100429348 100165272 100218685 100175967 100406234 100443602 100523585 100265614 100319300 100512665 100287459 100090097 100091279 100134842 100266409 100173154 100517818 100038586 100522338 100384980 100466842 100229956 100059831 100010044 100067094 100292127 100475036 100101547 100526056 100273582 100038134 100478248 100371904 100068445 100356324 100496977 100259605 100009811 100275821 100529845 100076531 100527136 100498608 100002423 100225772 100380652 100133076 100128423 100218245 100119821 100299076 100403932 100067055 100095525 100372423 100525684 100139089 100505031 100029074 100179830
(38264,100023792) 100119385 100497831 100460268 100177411 100501382 100262684 100179351 100420881 100441346 100392674 100477235 100254392 100402797 100495153 100073833 100294162 100106268 100373707 100407796 100036810 100150448 100302021 100162091 100443553 100118033 100194936 100323342 100419422 100492545 100241379 100253319 100286985 100362757 100035512 100499509 100099305 100438638 100138721 100118478 100205588 100041690 100382713 100456757 100365447 100101985 100145657 100134754 100069693 100243975 100338825 100279682 100150481 100487077 100400067 100432888 100071985 100469299 100301622 100159862 100150243 100370100 100513994 100321631 100197473 100211438 100293369 100333970 100347800 100199433 100369348 100095525 100351563 100492096 100245691 100283641 100278617 100368151 100530603 100206360 100293562 100328688 100265382 100532840 100434524 100078194 100189488 100446158 100063606 100439968 100133644 100510204 100380002 100144945 100348376 100155375 100183532 100534079 100169199 100298633 100296446
(38264,100158895) 100254166 100056201 100019094 100115308 100391885 100417236 100079536 100506567 100311508 100533074 100029543 100225772 100222518 100486791 100452969 100390219 100138076 100511821 100010843 100113344 100122275 100194658 100103983 100527118 100407150 100107221 100124690 100517818 100305636 100035063 100101108 100028211 100525154 100324532 100405755 100075477 100202049 100346332 100154951 100210997 100178846 100532791 100454204 100479307 100394095 100353865 100425401 100231121 100221227 100308306 100149093 100149965 100132958 100440079 100195904 100020208 100024299 100004645 100221071 100369929 100338825 100236772 100289902 100449366 100432165 100416089 100067412 100494404 100109503 100012575 100214067 100007406 100359827 100085504 100515035 100155284 100065409 100402244 100045312 100219784 100410668 100146024 100076531 100358414 100223833 100425735 100138060 100452257 100004728 100369475 100055500 100269416 100139553 100357058 100159508 100395142 100114912 100334757 100122782 100138118
(151903,100035063) 100471747 100431130 100324311 100116290 100204055 100040787 100152521 100441003 100214067 100093050 100025977 100066406 100363053 100220782 100222518 100324532 100369475 100127936 100303693 100418840 100207921 100225174 100132608 100509606 100488141 100523885 100183911 100509448 100183539 100258364 100073778 100104950 100029139 100453726 100311376 100274721 100071985 100422305 100260802 100431132 100204360 100526096 100221968 100096142 100105652 100516593 100220138 100157238 100022008 100075858 100218790 100187391 100137650 100469797 100087697 100228851 100120546 100088099 100043751 100421494 100356781 100235034 100515520 100164961 100169664 100301556 100081946 100159508 100265498 100077896 100264586 100536682 100265382 100503799 100150448 100155284 100372488 100138060 100416482 100321631 100438682 100152493 100177689 100020674 100042800 100029254 100363146 100485382 100260786 100497038 100429123 100091797 100262861 100311444 100196284 100175967 100027502 100312744 100434647 100287459
(151903,100216201) 100067055 100301556 100260799 100519891 100152493 100458934 100506911 100080272 100289086 100517948 100113712 100519354 100186647 100183560 100410027 100319147 100450537 100158587 100432239 100095584 100075863 100238950 100353841 100267488 100036762 100388799 100024842 100404936 100441346 100041102 100246089 100317720 100361310 100055736 100069968 100027323 100467845 100374265 100096142 100088869 100059074 100530395 100485698 100395892 100194026 100329445 100120287 100120546 100144945 100064654 100169377 100459666 100524863 100349011 100298534 100193671 100476223 100384629 100487229 100421494 100184111 100190339 100329022 100325468 100378819 100507654 100449402 100519807 100158895 100524256 100018471 100206360 100210618 100182031 100381390 100352175 100396842 100535341 100538778 100233047 100163691 100506695 100281729 100383860 100269122 100462367 100422305 100206405 100214792 100107566 100430888 100222566 100166112 100517818 100217947 100326660 100169223 100038789 100255398 100075364
(151903,100441377) 100025310 100365447 100121928 100315390 100468462 100020622 100371904 100289902 100018988 100463260 100483900 100062749 100329022 100223997 100120970 100381125 100465830 100476115 100279682 100090097 100239588 100272445 100154967 100418840 100152493 100157157 100171901 100080778 100381935 100163691 100265279 100430757 100022891 100485630 100145927 100374872 100157906 100443833 100525684 100333429 100007406 100301622 100328650 100395268 100352650 100515005 100401874 100222566 100325646 100484037 100454815 100477759 100095090 100288998 100210618 100515035 100237906 100362395 100345269 100132183 100520877 100064930 100527136 100070027 100245691 100460632 100527747 100528826 100478767 100356776 100249720 100299289 100345199 100082949 100358534 100387878 100177932 100177895 100177689 100035512 100101108 100297126 100449223 100044369 100310953 100224454 100488986 100501382 100050934 100297168 100110031 100482099 100120931 100535694 100404383 100008899 100075477 100371963 100262636 100203546
(7824,100319620) 100424300 100025477 100299660 100174197 100233047 100064654 100163418 100357369 100395655 100194936 100497831 100182514 100191753 100517583 100377190 100014568 100228107 100273977 100435646 100029074 100131465 100509360 100452762 100521063 100278641 100138881 100003247 100198470 100167289 100232962 100024090 100368782 100516763 100189028 100326323 100110200 100325884 100395386 100239588 100054379 100022891 100503920 100082109 100124708 100372317 100522634 100065893 100263696 100329318 100156691 100235034 100129795 100065494 100100379 100381125 100482895 100355594 100285595 100110317 100278617 100203632 100537969 100457711 100027322 100117979 100350002 100537519 100203627 100140883 100434063 100295672 100433694 100207852 100179283 100444025 100540016 100531000 100440319 100264255 100399201 100243937 100170911 100177411 100524256 100396565 100170553 100319095 100118609 100277233 100017615 100097603 100480828 100143470 100293369 100388799 100329295 100451485 100075863 100387863 100507142
(52175,100006130) 100280174 100203627 100133057 100000296 100066406 100395268 100506911 100251323 100014887 100235538 100216630 100369348 100035124 100417560 100381001 100262861 100518291 100518362 100298205 100445439 100140515 100452202 100329022 100416548 100029139 100422826 100403488 100388799 100326297 100017367 100119471 100536540 100533302 100285678 100306218 100153018 100146241 100041877 100397540 100352079 100128244 100080778 100036718 100306077 100506695 100057302 100185498 100294902 100010712 100422159 100397001 100120546 100160179 100415840 100245621 100055449 100112984 100064572 100390782 100014943 100461162 100532840 100406648 100155911 100127936 100171480 100150473 100030759 100521063 100027612 100393222 100071043 100238215 100355315 100082949 100142360 100491574 100265857 100300154 100503920 100277233 100187391 100246926 100143250 100233725 100497213 100366650 100130936 100413040 100119206 100353243 100062424 100286486 100532470 100118835 100529509 100406272 100191838 100486650 100124708
